Time,Timestamp,x,y,z,lat,lng
2023-06-26 13:48:33.232228,1687758513.2323577,0.7661,-0.17,8.8633,1.3447264157438474,103.70036122987922
2023-06-26 13:48:34.238462,1687758514.2385015,0.8452,-0.1987,8.8657,1.3447163975392047,103.70034620317848
2023-06-26 13:48:35.244024,1687758515.2440693,0.8882,-0.1604,8.9759,1.3446963792235043,103.70032783706898
2023-06-26 13:48:36.250145,1687758516.250185,0.8595,-0.1915,8.7819,1.3446913791703572,103.70032616736701
2023-06-26 13:48:37.255179,1687758517.2552187,0.9098,-0.2921,8.9495,1.3446780448325324,103.70032115828967
2023-06-26 13:48:38.260789,1687758518.2608283,0.8404,-0.2107,8.7412,1.3446396972861445,103.70029945261928
2023-06-26 13:48:39.267087,1687758519.2671678,0.917,-0.1772,8.8753,1.3446196970675512,103.70029277380678
2023-06-26 13:48:40.274500,1687758520.2745411,0.8787,-0.1891,8.8107,1.344579704391265,103.70028442502918
2023-06-26 13:48:41.280182,1687758521.2802212,0.8763,-0.0455,8.8705,1.3445680332809762,103.70027774635928
2023-06-26 13:48:42.285823,1687758522.28586,0.8643,-0.1556,8.904,1.3445630358138425,103.7002777462724
2023-06-26 13:48:43.291411,1687758523.2914503,0.905,-0.1484,8.8657,1.3445597041690707,103.7002777462145
2023-06-26 13:48:44.299441,1687758524.2994752,0.7973,-0.17,8.9088,1.3445563699356942,103.7002760765396
2023-06-26 13:48:45.461657,1687758525.4616938,0.0,0.0,0.0,1.3445530434680177,103.70027941571557
2023-06-26 13:48:46.467349,1687758526.4673953,0.0,0.0,0.0,1.3445547170556476,103.70028442459484
2023-06-26 13:48:47.497946,1687758527.4979818,2.2984,0.0,0.0,1.34455804611209,103.70028275503604
2023-06-26 13:48:48.529710,1687758528.5297558,0.0,0.0,0.0,1.3445530382908957,103.70027607648169
2023-06-26 13:48:50.571914,1687758530.5719783,0.0,0.0,0.0,1.3445496781675834,103.70025771063307
2023-06-26 13:48:51.578580,1687758531.5786188,0.0,0.0,0.0,1.3445429967514244,103.70024602319197
2023-06-26 13:48:52.584066,1687758532.5841048,0.0,0.0,0.0,1.3445363101518573,103.70023099651063
2023-06-26 13:48:53.589660,1687758533.5896993,0.0,0.0,0.0,1.3445396055272127,103.70020762190107
2023-06-26 13:48:54.596180,1687758534.5962186,0.0,0.0,0.0,1.3445262659914108,103.70019927357097
2023-06-26 13:48:55.602341,1687758535.602401,0.0,0.0,0.0,1.3445179187377823,103.70018758608575
2023-06-26 13:48:56.609272,1687758536.6093404,0.0,0.0,0.0,1.3445395822048434,103.70019259532275
2023-06-26 13:48:57.616021,1687758537.6160614,0.0,0.0,0.0,1.3445995984499879,103.70022264951683
2023-06-26 13:48:58.621509,1687758538.621549,0.0,0.0,0.0,1.3446362853915894,103.70024769443158
2023-06-26 13:48:59.628804,1687758539.6288416,0.0,0.0,0.0,1.3446462906830778,103.70025437307703
2023-06-26 13:49:00.634671,1687758540.6347094,0.0,0.0,0.0,1.3446479746296731,103.70026606042907
2023-06-26 13:49:01.640523,1687758541.6405895,0.0,0.0,0.0,1.3446546456851896,103.70027106939673
2023-06-26 13:49:02.646414,1687758542.6464567,0.0,0.0,0.0,1.3446546405074615,103.70026773016227
2023-06-26 13:49:28.539548,1687758568.5397139,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:29.549705,1687758569.5497437,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:30.555663,1687758570.5557008,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:31.561535,1687758571.561572,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:42.579324,1687758582.5793934,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:43.586413,1687758583.5864532,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:54.603602,1687758594.6036577,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:55.609720,1687758595.6097608,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:56.615703,1687758596.6157415,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:57.621668,1687758597.6217096,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:58.627509,1687758598.627547,0.0,0.0,0.0,1.3446644929582567,103.70017590129038
2023-06-26 13:49:59.633526,1687758599.6335676,0.0,0.0,0.0,1.3446277878253359,103.70013916898269
2023-06-26 13:50:00.641125,1687758600.6412034,0.0,0.0,0.0,1.344627805978907,103.70015085633568
2023-06-26 13:50:01.649030,1687758601.6490717,0.0,0.0,0.0,1.3446261531216774,103.70015920441416
2023-06-26 13:50:02.654710,1687758602.6547492,0.0,0.0,0.0,1.3446311868824787,103.70018257919364
2023-06-26 13:50:03.660385,1687758603.6604238,0.0,0.0,0.0,1.344632857888622,103.70018591846339
2023-06-26 13:50:04.666019,1687758604.6660583,0.0,0.0,0.0,1.3446345288945198,103.7001892577329
2023-06-26 13:50:05.673137,1687758605.6731772,0.0,0.0,0.0,1.3446378579471983,103.70018758817056
2023-06-26 13:50:06.679433,1687758606.679495,0.0,0.0,0.0,1.3446428580056848,103.70018925787768
2023-06-26 13:50:07.686132,1687758607.6861727,0.0,0.0,0.0,1.344644529011322,103.70019259714697
2023-06-26 13:50:08.692074,1687758608.6921132,0.0,0.0,0.0,1.344652860714004,103.70019426691181
