Time,Timestamp,x,y,z,lat,lng
2023-06-24 20:57:39.666343,1687611459.6664555,1.245,-0.0622,8.9256,0.0,0.01
2023-06-24 20:57:40.673640,1687611460.6736977,1.2402,0.0048,9.0357,0.0,0.01
2023-06-24 20:57:41.679908,1687611461.679947,1.2713,0.0215,8.8178,0.0,0.01
2023-06-24 20:57:42.686759,1687611462.686814,1.2905,-0.1484,8.9974,0.0,0.01
2023-06-24 20:57:43.693306,1687611463.6933641,1.2641,0.1077,8.7891,0.0,0.01
2023-06-24 20:57:44.698379,1687611464.6984177,1.2713,0.0024,8.8992,0.0,0.01
2023-06-24 20:57:45.705494,1687611465.7055316,1.257,0.0192,8.8538,0.0,0.01
2023-06-24 20:57:46.712096,1687611466.7121701,1.2594,0.0359,8.8514,0.0,0.01
2023-06-24 20:57:47.718765,1687611467.7188036,1.2426,-0.0359,8.8921,0.0,0.01
2023-06-24 20:57:48.725660,1687611468.7256994,1.2785,0.1508,9.0094,0.0,0.01
2023-06-24 20:57:49.731288,1687611469.731327,1.2905,0.0072,8.8801,0.0,0.01
2023-06-24 20:57:50.737922,1687611470.7379613,1.2594,-0.0072,8.9399,0.0,0.01
2023-06-24 20:57:51.743585,1687611471.743624,1.245,0.1484,8.8562,0.0,0.01
2023-06-24 20:57:52.749622,1687611472.7496827,1.2905,0.0335,8.9064,0.0,0.01
2023-06-24 20:57:53.756055,1687611473.7560928,1.233,0.0359,9.0285,0.0,0.01
2023-06-24 20:57:54.762756,1687611474.7627945,1.2474,0.0311,8.9615,0.0,0.01
2023-06-24 20:57:55.769458,1687611475.7694962,1.2546,0.0646,8.8585,0.0,0.01
2023-06-24 20:57:56.775112,1687611476.775151,1.3743,0.0239,8.8298,0.0,0.01
2023-06-24 20:57:57.780698,1687611477.7807345,1.2474,0.0335,8.916,0.0,0.01
2023-06-24 20:57:58.787937,1687611478.788011,1.2522,0.0934,8.8322,0.0,0.01
2023-06-24 20:57:59.796935,1687611479.7969728,1.2929,-0.0024,8.8753,0.0,0.01
2023-06-24 20:58:00.804664,1687611480.8047082,1.2617,0.0575,8.8681,0.0,0.01
2023-06-24 20:58:01.810361,1687611481.8104002,1.2594,0.0455,8.8585,0.0,0.01
2023-06-24 20:58:02.816013,1687611482.8160517,1.2402,0.1221,8.8514,0.0,0.01
2023-06-24 20:58:03.821607,1687611483.8216472,1.2522,0.0335,8.8849,0.0,0.01
2023-06-24 20:58:04.827970,1687611484.8280363,1.3024,0.0239,8.849,0.0,0.01
2023-06-24 20:58:05.839408,1687611485.8394816,1.2354,0.0192,8.9735,0.0,0.01
2023-06-24 20:58:06.847018,1687611486.8470848,1.2522,-0.146,9.0333,0.0,0.01
2023-06-24 20:58:07.854374,1687611487.8544126,1.245,-0.0215,8.8538,0.0,0.01
2023-06-24 20:58:08.860036,1687611488.8600757,1.2306,0.0239,8.9016,0.0,0.01
2023-06-24 20:58:09.865604,1687611489.865643,1.2785,0.0287,8.9519,0.0,0.01
2023-06-24 20:58:10.873066,1687611490.8731048,1.2737,0.0096,8.825,0.0,0.01
2023-06-24 20:58:11.879939,1687611491.8799763,1.2402,0.0311,8.8753,0.0,0.01
2023-06-24 20:58:12.886294,1687611492.8863595,1.2857,0.0551,8.8562,0.0,0.01
2023-06-24 20:58:13.892891,1687611493.8929293,1.3096,0.0335,8.8633,0.0,0.01
2023-06-24 20:58:14.898532,1687611494.8985698,1.2091,0.0503,8.9352,0.0,0.01
2023-06-24 20:58:15.908594,1687611495.9086323,1.2498,0.0,8.7508,0.0,0.01
2023-06-24 20:58:16.914162,1687611496.914201,1.3216,-0.0527,8.837,0.0,0.01
2023-06-24 20:58:17.920987,1687611497.921024,1.2306,-0.0048,8.8921,0.0,0.01
2023-06-24 20:58:18.926390,1687611498.9264271,1.3001,0.0096,8.7891,0.0,0.01
2023-06-24 20:58:19.932110,1687611499.9321494,1.2785,0.0263,8.7484,0.0,0.01
2023-06-24 20:58:20.938954,1687611500.938992,1.3001,0.1125,8.8346,0.0,0.01
2023-06-24 20:58:21.944506,1687611501.9445446,1.2785,0.0886,8.8202,0.0,0.01
2023-06-24 20:58:22.950079,1687611502.950117,1.2522,-0.0048,8.9016,0.0,0.01
2023-06-24 20:58:23.958199,1687611503.9582736,1.0726,0.0072,8.8681,0.0,0.01
2023-06-24 20:58:24.965792,1687611504.9658573,1.2689,0.0168,8.9112,0.0,0.01
2023-06-24 20:58:25.973158,1687611505.9732263,1.3072,-0.0024,8.8035,0.0,0.01
2023-06-24 20:58:26.985803,1687611506.9858742,1.1947,0.0263,8.8585,0.0,0.01
2023-06-24 20:58:27.993561,1687611507.9936352,1.2713,0.1365,8.8538,0.0,0.01
