Time,Timestamp,x,y,z,lat,lng
2023-06-25 21:01:46.526138,1687698106.5263739,0.2442,-0.0168,8.9423,0.002698458322254793,0.012568497079753525
2023-06-25 21:01:47.534553,1687698107.5346262,0.2227,-0.0287,8.9423,1.344727939270053,103.7002694010536
2023-06-25 21:01:48.542226,1687698108.5423005,0.2274,-0.0479,8.9878,1.3447313149160975,103.7002977845957
2023-06-25 21:01:49.671609,1687698109.671692,0.2825,0.0455,9.0405,1.3447379574996605,103.70028442778002
2023-06-25 21:01:50.696005,1687698110.6960979,0.2227,0.0024,8.9567,1.3447296387422238,103.70029110610149
2023-06-25 21:01:51.716694,1687698111.7167842,0.2634,0.1293,8.9112,1.344729636154117,103.70028943648502
2023-06-25 21:01:52.739204,1687698112.7392783,0.2322,-0.0096,8.9639,1.3447329548567744,103.70028108845966
2023-06-25 21:01:54.678423,1687698114.678588,0.2993,-0.0431,9.0118,1.344734610324575,103.70027441002087
2023-06-25 21:01:55.705092,1687698115.705137,0.2059,-0.0024,9.0118,1.3447396077906921,103.70027441010774
